Country,Date,Covid Deaths,Surplus Deaths,Max Deaths,Overall Deaths
Malta,2022W20,1.2271523606536201e-05,0.0,0.0,0.0
Denmark,2022W20,8.789886607608904e-06,0.0,0.0,0.0
Austria,2022W20,4.813793511095906e-06,0.0,0.0,0.0
France,2022W20,8.996401370476114e-06,0.0,0.0,0.0
Hungary,2022W20,8.392619482469291e-06,0.0,0.0,0.0
Finland,2022W20,2.813019328093166e-05,0.0,0.0,0.0
Greece,2022W20,1.6419081894884415e-05,0.0,0.0,0.0
Lithuania,2022W20,4.530799900799328e-06,0.0,0.0,0.0
Slovenia,2022W20,5.689962479439084e-06,0.0,0.0,0.0
Czechia,2022W20,3.4573697433613127e-06,0.0,0.0,0.0
Albania,2022W20,1.1779641081404034e-07,0.0,0.0,0.0
Germany,2022W20,1.1672975825920463e-05,0.0,0.0,0.0
Spain,2022W20,1.0520683463261314e-05,0.0,0.0,0.0
Iceland,2022W20,3.0730963072228613e-05,0.0,0.0,0.0
Slovakia,2022W20,1.19662919324664e-05,0.0,0.0,0.0
United Kingdom,2022W20,8.392461676859057e-06,0.0,0.0,0.0
Croatia,2022W20,1.098350698423041e-05,0.0,0.0,0.0
Liechtenstein,2022W20,0.0,0.0,0.0,0.0
Latvia,2022W20,9.33152970710089e-06,0.0,0.0,0.0
Luxembourg,2022W20,5.776734464522973e-06,0.0,0.0,0.0
Norway,2022W20,1.0016008920925278e-05,0.0,0.0,0.0
Belgium,2022W20,6.808156898937613e-06,0.0,0.0,0.0
Portugal,2022W20,1.5342409566205993e-05,0.0,0.0,0.0
Europe**,2022W20,8.962422280186516e-06,0.0,0.0,0.0
Serbia,2022W20,3.492663296925714e-06,0.0,0.0,0.0
Romania,2022W20,2.864335389301197e-06,0.0,0.0,0.0
North Macedonia,2022W20,2.5779740475352635e-06,0.0,0.0,0.0
Montenegro,2022W20,2.6849717299326557e-06,0.0,0.0,0.0
Switzerland,2022W20,3.0371882556928054e-06,0.0,0.0,0.0
Estonia,2022W20,5.5135025677885135e-06,0.0,0.0,0.0
Ireland,2022W20,1.0453445149241907e-05,0.0,0.0,0.0
Cyprus,2022W20,1.3764773415088648e-05,0.0,0.0,0.0
Bulgaria,2022W21,8.048330853290784e-06,0.0,0.0,0.0
Sweden,2022W21,4.913628526793005e-06,0.0,0.0,0.0
Netherlands,2022W21,8.392742985884265e-07,0.0,0.0,0.0
Italy,2022W21,1.195777544613349e-05,0.0,0.0,0.0
Poland,2022W21,1.523960495314645e-06,0.0,0.0,0.0
Malta,2022W21,7.104566298520958e-06,0.0,0.0,0.0
Denmark,2022W21,6.620953548588524e-06,0.0,0.0,0.0
Austria,2022W21,3.8808877918912725e-06,0.0,0.0,0.0
France,2022W21,7.06015507332545e-06,0.0,0.0,0.0
Hungary,2022W21,8.255597123571832e-06,0.0,0.0,0.0
Finland,2022W21,2.2407777088879184e-05,0.0,0.0,0.0
Greece,2022W21,1.2954218605279529e-05,0.0,0.0,0.0
Lithuania,2022W21,2.8615578320837866e-06,0.0,0.0,0.0
Slovenia,2022W21,3.951362832943808e-06,0.0,0.0,0.0
Czechia,2022W21,2.0557333609175374e-06,0.0,0.0,0.0
Albania,2022W21,1.1779641081404034e-07,0.0,0.0,0.0
Germany,2022W21,1.0121656579824576e-05,0.0,0.0,0.0
Spain,2022W21,1.0387065157243955e-05,0.0,0.0,0.0
Iceland,2022W21,3.0730963072228613e-05,0.0,0.0,0.0
Slovakia,2022W21,7.814721262018874e-06,0.0,0.0,0.0
United Kingdom,2022W21,6.516911540493057e-06,0.0,0.0,0.0
Croatia,2022W21,8.093110409432933e-06,0.0,0.0,0.0
Liechtenstein,2022W21,0.0,0.0,0.0,0.0
Latvia,2022W21,5.986264340404344e-06,0.0,0.0,0.0
Luxembourg,2022W21,4.726419107336978e-06,0.0,0.0,0.0
Norway,2022W21,8.346674100771066e-06,0.0,0.0,0.0
Belgium,2022W21,5.048421429296959e-06,0.0,0.0,0.0
